Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Location,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Nanoprecise,https://www.nanoprecisesc.com/ ,"Nanoprecise Sci Corp is engaged in the design and development of the Internet of Things enabled solutions to monitor and predict asset failures. The product line comprises of wireless sensors that can be mounted at the optimal location on the equipment and industrial assets for monitoring multiple parameters including vibration, temperature, pressure, humidity, among others. Our competitors do varying portions of the complete value chain but we are the only company we have found that completes the value equation by providing an accurate Remaining Useful Life calculation from which operational decisions can be made by the users.",Seed,"3,500,000",Predictive Maintenance,Emerging,2015,Canada,Both,TRUE,,,,
Seebo,https://www.seebo.com/,"Seebo is a pioneer in process-based Industrial AI, with solutions to predict and prevent disruptions in manufacturing due to quality and downtime issues. Using the Seebo Industrial IoT Platform, we infuse the customer’s production line processes and knowhow, together with data from OT and IT systems, into machine learning - without requiring the customer to master data science. This enables us to deliver solutions for Predictive Quality, Predictive Maintenance, and Condition Monitoring with unmatched accuracy and simplicity.",Series A,"22,000,000",Predictive Maintenance,Existing,2012,Australia,Both,TRUE,,,,
Semiotic Labs,https://www.semioticlabs.com/en/,"Condition Monitoring service based on Machine Learning and proprietary sensors. Condition monitoring. SAM4 is a Smart Condition Monitoring solution for critical AC motors and rotating equipment. Unlike traditional tools that use vibration sensors, SAM4 measures electrical waveforms from inside the Motor Control Cabinet, creating a reliable, accurate, and easy to use condition monitoring solution that scales.",Seed,"664,000",Predictive Maintenance,Emerging,2015,Netherlands,Both,TRUE,,,,
Presenso,https://www.presenso.com/,"Presenso provides an AI Driven Industrial Intelligence solution. The Presenso solution uses advanced Artificial Intelligence to provide real-time asset failure predictions based on monitoring sensors’ signal data in the cloud. With its proprietary adaptive algorithms, Presenso can analyze sensor behavior, automatically learn how machines behave and use this learning to predict machine failures before they occur.",Acquired,"3,000,000",Predictive Maintenance,Existing,2015,Israel,Both,TRUE,,,,
Industrial Analytics,https://industrial-analytics.io/,"Industrial Analytics offers a holistic all-in-one solution from sensor to analytics for industrial processes and rotating equipment such as compressors, turbines and pumps. We digitalize industrial plants within weeks. Using informed machine learning with physics-based models significantly enhances the reliability of the condition monitoring and avoids false alarms.",Seed,"250,000",Predictive Maintenance,Emerging,2017,Germany,Both,TRUE,,,,
MachineMetrics,https://www.machinemetrics.com/,"Industrial IoT analytics and machine monitoring platform that allows manufacturers to make more confident decisions based on real-time data. Our fully automated manufacturing analytics solution provides visualizations of real-time manufacturing production data, predictive notifications, as well as historical analytics, allowing factory workers to make faster, smarter, more confident decisions based on real-time data. ",Series A,"13,400,000",Predictive Maintenance,Existing,2014,United Kingdom,Both,TRUE,,,,
OspreyData,https://www.ospreydata.com/,"OspreyData is a physical systems intelligence platform that operates alongside traditional monitoring, process control, to deliver deep, predictive insights into the behavior of complex mechanical systems. The company harnesses the mass of sensor data generated by modern, high-value mechanical assets with the help of machine learning to predict and prevent failures, reduce downtime, and enhance operating efficiency. ",Series A,"14,600,000",Predictive Maintenance,Existing,2013,USA,Both,TRUE,,,,
Skyx,https://skyx.com/,"SkyX Systems Corp. develops a long-endurance, long-range VTOL drone for inspection and monitoring applications. It uses the drone to also provide inspection services. The company claims that its drone is partially autonomous, capable of following pre-programmed waypoints. The drone carries optical, hyperspectral and thermal cameras. SkyX's services are applicable to multiple industries, including railways, manufacturing and power plants, energy infrastructure (oil and gas, electric transmission pylons), etc.",Series B,"15,200,000",Predictive Maintenance,Existing,2015,Canada,Both,TRUE,,,,
Ketos,https://ketos.co/,"Ketos is a provider of IoT based water solution for applications in smart buildings, schools, and cities. actionable water analytics platform for water management and safety. The solution consists of patented hardware and an analytics platform. The hardware can be deployed in the areas to be monitored and the analytics platform interfaces with the hardware for showcasing real-time insights of water usage, leaks, and quality.",Series A,"11,500,000",Water Management,Existing,2015,USA,Alternative,TRUE,,,,
Stormsensor,https://www.stormsensor.io/,"StormSensor provides patented sensor networks, cloud-based data platform, and analytical solutions to municipalities, government agencies, and industrial facilities for tracking and preventing stormwater pollution or flooding. Its chief offering Scute is a network of wireless sensors that comprises an ultrasonic depth sensor, an ultrasonic Doppler velocity sensor, temperature sensor, among others. It leverages third-party Lora network (machineQ) for wireless data transmission in an interval of five minutes. In addition, the company offers Terrapin which is a cloud-based platform that processes the data collected by the sensor for providing users with map and time-series data views, correlated real-time weather data, real-time alerts for flow events affecting the system, among others.",Seed,"1,980,000",Water Management,Existing,2015,USA,Alternative,TRUE,,,,
Digiteum,https://www.digiteum.com/,"Digiteum is a cross-functional software development company focused on designing and delivering new digital tools and services to businesses across industries and verticals. Relying on deep business understanding and broad technology expertise, Digiteum helps the clients from around the world embrace digital transformation. It also design and develop IoT and big data solutions for sustainable and resilient use of resources.",Unfunded,n/a,Water Management,Existing,2010,USA,Alternative,FALSE,,,,
Agua Clara,http://aguaclarallc.com/,AguaClara focuses on development of gravity-powered water treatment plants to generate safe drinking water. The company develops the plants for remote applications.,Unfunded,n/a,Water Management,Existing,2013,,Both,FALSE,,,,
Utilis,https://utiliscorp.com/,"Israel-based Utilis analyzes satellite imagery to detect water leaks & non-revenue water and displays on GIS portal with location details. Use spectral aerial image taken from satellite-mounted sensors which can detect underground leakages. Then they impose the data on GIS and run proprietary algorithms to look for particular spectral signature specific to drinking water. Provides analysis data monthly, quarterly, and half yearly basis.",Undisclosed,Undisclosed,Water Management,Emerging,2013,Israel,Alternative,TRUE,,,,
Greenblu,https://greenblu.co/,GreenBlu has developed a patented seawater technology called as vapor adsorption distillation with energy recycling which uses nanocomposite adsorbent for heat adsorption. The system uses solar power & distills the brine water and wastewater by producing potable water.,Undisclosed,Undisclosed,Water Management,Emerging,2016,USA,Alternative,TRUE,,,,
iWesla,http://iwesla.iot4water.com/,"iWesla uses an innovative “demand-side cyber-physical system” (smart meters, sensors, actuators, data analysis and processing) to identify patterns in water use per household. Data collected by iWesla using IoT platforms allows to understand how and where water is consumed across metropolitan areas.",Undisclosed,Undisclosed,Water Management,Emerging,2016,Spain,Alternative,TRUE,,,,
Manufacturing Intelligence,https://www.manufacturingintelligence.com.au,Manufacturing Intelligence is a provider of manufacturing operations management solutions. The product portfolio includes MI spatial intelligence that offers real-time 3D- visualization of live operational and design data from one source; MI modeller that offers modeling and deploying of the solutions; MI tracking that offers visibility of the state of the operations and MI operations accounting that offers integration between operations management systems and ERP.,Unfunded,n/a,Operations Intelligence,Emerging,2011,Australia,Mining,TRUE,,,,
Stonex,http://www.stonexamerica.com,"Stonex is a provider of suite solution for the mining industry. The product portfolio includes FieldGenius (Surveying Software), Cube T (data collector/staking out software),  GeoGIS (GIS Software), CubeWM (field survey software), NTrip (network management), and others. Apart from providing software solutions, the company also provides GPS, Laser Scanners, Total Stations, and others.",Unfunded,n/a,Operations Intelligence,Emerging,2011,Italy,Mining,TRUE,,,,
K Mine,https://www.k-mine.us,"K-Mine is a provider of suite solution for the mining industry. Software solutions include Survey software, Geologic Software, Geological-Survey Software, Mining Process Software, Mines Ventilation Estimation, Projection and Management of Explosive works, Calculation of the stability of the mine boards, and dump slopes, and others. Clients include Ferrexpo, Evraz, ArcelorMittal, and others.",Unfunded,n/a,Operations Intelligence,Existing,2011,USA,Mining,TRUE,,,,
Cubility,https://www.cubility.com.au,"Cubility is a provider of data and analytics solutions for the mining industry. The product portfolio includes Mine Production Management(data audit, reporting and reconciliation ), Geological Data Management (database designed to allow the recording, storing and retrieval of geological data ), Metallurgical Accounting (recording, storing and retrieval of mineral processing data, plant operation and availability data). Along with providing software solutions, the company also provides consulting services.",Unfunded,n/a,Operations Intelligence,Existing,2011,Australia,Mining,TRUE,,,,
Syrah Slurry,https://www.syrahslurry.com,"Syrah Slurry is a provider of pipe parameters solution for the mining industry. The product is used to transfer readings from the slurry pipe onto the spreadsheet which can be accessed from anywhere. Some of the functions include Pipe Reynolds Number, Deposition Velocity under the Slurry pipe, Pressure drop inside the slurry pipe and more. The solution is a SaaS based solution.",Unfunded,n/a,Operations Intelligence,Existing,2012,USA,Mining,TRUE,,,,
Mine Vision Systems,https://www.minevisionsystems.com,"Mine Vision Systems is a provider of innovative solutions for the mining industry. The solution provided by the company contains an integrated sensor and data capture software system that uses a system of LiDAR and stereo-camera inputs from a mobile platform. Features include Ability to map 20km in 3hrs, Georeferenced point clouds, Vehicle mounted sensor, and others.",Unfunded,n/a,Operations Intelligence,Emerging,2012,USA,Mining,TRUE,,,,
Stone Three Mining,https://www.stonethreemining.com,"Stone Three Mining is a provider of mineral processing solutions for the mining industry. The product portfolio includes Intelliore Lynxx PSA (particle size analyzers), IntelliFroth floatation sensors (froth sensors), BubbleSizer (bubble sizers), and Intelliore Volume (volumetric material analyzers ). Some of the key clients include Anglo American, Kumba Iron Ore, African Rainbow Minerals, AngloGold Ashanti, Sasol and First Quantum Minerals and others.",Unfunded,n/a,Operations Intelligence,Existing,2012,South Africa,Mining,TRUE,,,,
Minerality,https://www.minerality.com.au,"Minerality offers simulation software solutions for mineral processing. Its product ""MetSmart"", helps in the simulation of ore behavior during grinding and flotation processes. Used to identify bottlenecks and optimize the process of mineral processing. Also, offers consultancy and training services.",Unfunded,n/a,Operations Intelligence,Existing,2012,Canada,Mining,TRUE,,,,
MPPI Global,https://mppiglobal.com/,"MPPI Global provides asset monitoring, analytics, and optimization solutions to heavy asset industries like mining etc. It provides an OEE module which calculates the performance, quality losses and identifies the causes for the same. The downtime module provides real-time data for managing risks and costs associated with maintenance activities. The CPEM module helps in identifying losses beforehand thereby improving efficiency. Provides a dashboard for viewing operational data and insights into the performance of assets. Some of its clients include Rio Tinto and African Barrick Gold among others.",Unfunded,n/a,Operations Intelligence,Emerging,2012,Australia,Mining,TRUE,,,,
ZMI P/L,http://www.zmi.com.au/zmi_home.html,"ZMI P/L is a provider of maintenance solutions. Product portfolio includes RouteMaintenace Software ( fixed plant maintenance and safety inspections ),  Rail and PortMaintenance Software (  Periodic inspections from a maintenance or safety perspective solutions ), EquipmentStatus ( asset inspections and commissioning ), and SafetyStatus Software ( afe and efficient safety audits, in the field, electronically ).",Unfunded,n/a,Predictive Maintenance,Existing,2012,Australia,Mining,TRUE,,,,
Translogik,https://trans-logik.com,"Translogik is a provider of tire management solutions. The product portfolio includes wireless tyre temperature and pressure monitoring systems, tread depth, pressure and temperature data collection tools for truck, bus and OTR vehicle tyre inspections, and RFID (Radio Frequency Identification) tags, patches and UHF readers for tyres. Some of the key clients include BHP Billiton, Glencore, Anglo American , and others.",Unfunded,n/a,Operations Intelligence,Existing,2012,United Kingdom,Mining,TRUE,,,,
INDIMIN,http://www.indimin.com,"IDIMIN is a company that has developed a platform that detects operation breaches and predicts the future productivity of every element of the process by using technologies like Big Data, IoT, Analytics and Computer Vision.",Unfunded,n/a,Operations Intelligence,Emerging,2013,Chile,Mining,TRUE,,,,
RedBrayn,http://redbrayn.com/,"RedBrayn is a tech-based company focused on solving problems from non-scheduled catastrophic faults that happen for the lack of a predictive maintenance program. It developed Sonus, which focuses on equipment activated by rotational engines, widely used in many industrial processes, enabling the detection of faults up to 3 months in advance.",Unfunded,n/a,Predictive Maintenance,Emerging,2013,France,Mining,TRUE,,,,
siteoffice.mobi,https://sitemobi.com.au/,"Sitemobi is a mobile & cloud-based construction project management software. The platform enables construction project managers to upload construction project information, track & schedule project workflows, forecast the real-time project cost, track construction assets, manage contracts, and more. The company's clientele includes Landlease, MGN Civil, and Intelligent Infrastructure Ssolutions, among others.",Unfunded,n/a,Advanced Project Management,Emerging,2013,Australia,Mining,TRUE,,,,
SnapSupport,http://www.snapsupport.io/SnapSupport%20Platform.html,"SnappSupport provides real-time collaboration to customers and field teams. It helps customers to submit pictures/video based questions to customer support teams through the mobile app. Its features include IoT connectivity for real-time instrument data, assisted reality with Google Glass, location-based issue routing, real-time video chat with customers & field support team, and instant messaging with customers. It provides integration with CRM and helpdesk providers such as Salesforce, Zendesk, Freshdesk, Siebel.",Undisclosed,Undisclosed,Operations Intelligence,Emerging,2013,USA,Mining,TRUE,,,,
eBrik,ebrik-cam.com,"Industry : Construction.
eBrik is an app-based construction project video monitoring platform. The platform enables homebuyers/owners to monitor the development of their properties and at the same time protecting workers privacy through image processing. Features include real-time video capture, weekly/monthly time-lapse videos, image processing, weekly logs, design finishes in 3D, and more. It also provides HD 720P night vision cameras for monitoring of project progress in night.",Unfunded,n/a,Operations Intelligence,Emerging,2013,United Kingdom,Alternative,TRUE,,,,
SenMoS,senmos.dk,"Industry : Construction.
SenMos is a cloud-based sensor data platform for structural health monitoring. The platform provides real-time pictures of the structures by using sensor data, users review data, and data analysis, to help the owners with maintenance decisions. The company has partnered with Krabbenoft, and Ingolfsson, among others.",Unfunded,n/a,Operations Intelligence,Emerging,2013,Denmark,Alternative,TRUE,,,,
C-site,c-site.eu,"Industry : Construction.
C-site is a provider of construction site monitoring solutions through a combination of an automated time-lapse camera app and related services. Provides a plug and play DIY waterproof box that can be installed at the project site and operated through a web platform and controller unit. Project managers, contractors, and building owners can monitor images, time-lapse videos, and visual project information such as energy use, material tracking, and project delivery notes. Users can also connect the system with external websites, social media platforms, and other construction apps.",Unfunded,n/a,Operations Intelligence,Existing,2013,Belgium,Alternative,TRUE,,,,
VisualProgress,visualprogress.cl,"Industry : Construction.
VisualProgress provides the ability for construction firms and owners to remotely monitor the progress of their building projects. The cameras, also acting as a small size servers, record the construction process, compress the videos into short duration videos and store them on the cloud. These photos and videos can then be accessed through a web portal. Cameras also have inbuilt sensors that measure weather and other environment variables. Part of Startup Chile accelerator program since February 2015.",Undisclosed,Undisclosed,Operations Intelligence,Existing,2013,Chile,Alternative,TRUE,,,,
Trydax,trydax.com,"Trydax is a manufacturer of sustainable Eco-friendly concrete. The company leverages sustainable cement technology that cures faster, cures underwater, fewer emissions, and more.",Unfunded,n/a,New Cement,Distant,2014,Portugal,Cement,TRUE,,,,
Formdwell,formdwell.com,"Industry : Construction.
Formdwell is a developer of construction tools using robotics technology. The company is developing building a hardware and software solution to survey the construction site, quantify progress, detect issues, and share digital information with the field in real-time.",Unfunded,n/a,Operations Intelligence,Existing,2014,USA,Alternative,TRUE,,,,
Cumulus Projects,https://www.cumulusprojects.com/,"Cumulus Projects provides augmented & virtual reality and digital twin solutions for the Oil & Gas industry. Provides solutions to communicate with energized systems during construction & commissioning, send hazard notifications to field personnel based on location, view live open/closed status of isolation valves from anywhere and track the location of heavy machinery. Provides tools include Cumulus Frontier, Cumulus Digital Twin, Cumulus Subsea Valve Tracker, and Cumulus Terminate.",Unfunded,n/a,Advanced Project Management,Emerging,2015,Australia,Alternative,TRUE,,,,
Mining Tag,https://www.miningtag.cl,"Mining Tag is a provider of monitoring solutions for the mining industry. The product portfolio includes MT Loops, MT Traffic, MT Guardian, Iget, MT-Safe Drive, Smar Exec and MT Logistic. Some of the key partners Identec solutions,  Impinj, Simsmart and others. Suppliers include Advantech and Nanotron.",Unfunded,n/a,Operations Intelligence,Existing,2015,Chile,Mining,TRUE,,,,
Ogun,https://ogun.io/ogun-suppliers/,"Ogun is an easy-to-use planning tool for project management that brings construction projects and suppliers onto a common platform. It connects site plans with product orders to manage invoices, documents and communication all in one place. From small home builds to large infrastructure, Ogun is designed to handle all types of projects and their needs. Suppliers of everything from materials (concrete, rebar, etc.) to services and equipment rentals can manage and display their offerings. If it's needed on a project site, it belongs on Ogun.",Unfunded,n/a,Advanced Project Management,Existing,2016,Spain,Both,TRUE,,,,
Refind,https://www.refind.se/,"Refind has developed optical sorting machines for waste processing and fishing industry. The products include portable battery sorter with the brand, battery size & type details reporting; electronic gadgets sorter enabled by artificial neural networks; battery reverse vending machines. The waste handling operations can be monitored through the software platform. Also provides automatic fish species grading machine.",Undisclosed,Undisclosed,Operations Intelligence,Emerging,2016,Sweden,Alternative,TRUE,,,,
Symboticware,https://www.symboticware.com/,"Symboticware provides ruggedized hardware and software solutions for real-time gathering, transmitting, and analyzing equipment & sensor data for improved safety, productivity and asset utilization.",Undisclosed,Undisclosed,Operations Intelligence,Existing,2018,Canada,Both,TRUE,,,,
Nashville Machine - Elevator,https://www.prnewswire.com/news-releases/thyssenkrupp-to-acquire-nashville-machine-elevator-300859561.html,"Nashville Machine is a mechanical contractor that specializes in commercial HVAC/plumbing services, planned maintenance, installation, and equipment change outs.",Acquired,Undisclosed,Predictive Maintenance,Existing,2019,USA,Cement,TRUE,Thyssenkrupp,Acquisition,Undisclosed,2019
Mine Digitisation,https://www.mining-technology.com/news/chiles-pucobre-selects-epiroc-to-digitalise-mining-operations/,"Epiroc has signed a collaboration agreement to digitalise mining operations in Chile-based Sociedad Punta del Cobre, commonly known as Pucobre. It includes development of an integrated information management system, which is already visible in Pucobre’s newly established control tower.",Unfunded,n/a,Operations Intelligence,Emerging,2019,Chile,Mining,TRUE,Epiroc,Activity,,2019
WEARX,https://www.metso.com/news/2017/11/metso-acquires-wearx-to-strengthen-its-position-in-mining-services-in-australia/,"WEARX is a wear solutions provider, addressing the needs of major mining customers by implementing wear technologies to deliver wear protection solutions. The company's offering includes wear liners, rubber and ceramic lining, skirting, and bulk material handling equipment. The services portfolio includes design, engineering, site services and project management.",Acquired,Undisclosed,Predictive Maintenance,Existing,2017,Australia,Mining,TRUE,Metso/Ouotec,Acquisition,Undisclosed,2017
Remote monitoring capabilities,http://www.globenewswire.com/news-release/2019/09/10/1913181/0/en/Metso-accelerates-investments-in-remote-monitoring-capabilities-in-Chile-and-China.html,"Metso accelerates investments in remote monitoring capabilities in Chile and China with the new state-of-the-art Metso performance centers offering continuous automated monitoring, improvements and predictive maintenance services for the customers’ mineral processing equipment, components and processes.",Unfunded,,Operations Intelligence,Emerging,2019,China,Mining,TRUE,Metso/Ouotec,Activity,,2019
Carbon2Chem,https://www.thyssenkrupp-steel.com/en/newsroom/highlights/reducing-emissions.html,"Thyssenkrupp joined forces with 16 other partners (including Siemens, Evonik, Linde, and the Fraunhofer Institute) to launch the Carbon2Chem® initiative aims to prove that carbon dioxide can be used as a raw material.",Unfunded,,Carbon Capture,Emerging,2019,Germany,Cement,TRUE,Thyssenkrupp,Activity,,2019
Green Cement Plant,https://www.greencementplant.com/,Uses tools and methodologies to turn conventional cement plans into greener ones using independent solutions that fit seamlessly into any cement plant.,Unfunded,,New Cement,Distant,2018,Germany,Cement,TRUE,Thyssenkrupp,Activity,,2018
Bio treatment of water,https://www.thyssenkrupp.com/en/company/innovation/processes-that-conserve-resources/biological-treatment-of-wastewater.html,Biological treatment of wastewater using bacteria using specifically grown bacterial cultures - also created a plant that can clean up to 30 cubic meters per hour.,Unfunded,,Water Management,Existing,2018,China,Alternative,TRUE,Thyssenkrupp,Activity,,2018
Microsoft Hololens,https://blogs.windows.com/devices/2016/09/15/microsoft-hololens-enables-thyssenkrupp-to-transform-the-global-elevator-industry/,"Leveraging Microsoft Hololens, 24,000 elevator service technicians can now visualize and identify problems ahead of a job, and have remote, hands-free access to technical and expert information when onsite, improving the way people and cities move.",Unfunded,,Predictive Maintenance,Existing,2016,USA,Cement,TRUE,Thyssenkrupp,Activity,,2016
Cloud Connected Elevators,https://www.thyssenkrupp-elevator.com/en/products-and-service/max/,"In 2017, developed MAX. MAX is the industry’s first real-time, cloud-based predictive maintenance solution. It keeps elevators operating smoothly, slashing downtime by as much as 50%.",Unfunded,,Predictive Maintenance,Existing,2017,Germany,Cement,TRUE,Thyssenkrupp,Activity,,2017
Carbon capture & sequestration,https://www.thyssenkrupp-industrial-solutions.com/de/produkte-und-services/oil-und-gas-upstream/kohlenstoffabscheidung-und-sequestrierung,"As a process-driven technology contractor in the areas of oil & gas production, gas processing, coal gasification and specialized gas technologies, thyssenkrupp Industrial Solutions has a strong background in key aspects of CC

 Removal of acid gases from natural, synthesis and other gas streams (including preferential CO2 removal)
 Supercritical CO2 compression and pipeline transportation.
 Overall optimization of carbon capture, compression, transport and sequestration systems",Unfunded,,Carbon Capture,Distant,2019,,Cement,TRUE,Thyssenkrupp,Activity,,
Commercial-scale carbon capture facility,https://www.cemnet.com/News/story/168047/carbon-capture-project-to-operate-at-lafargeholcim-s-florence-plant.html,"Oxy Low Carbon Ventures and Total have formed a joint study to assess the viability and design of a commercial-scale carbon-capture facility at the Holcim Portland Cement plant in Florence, Colorado, USA. The study will evaluate the cost of the facility designed to capture up to 725,000tpa of CO2 directly from the LafargeHolcim cement plant, which would be sequestered underground permanently by Occidental.",Unfunded,,Carbon Capture,Distant,2019,USA,Cement,TRUE,Lafargeholcim,Activity,,2019
100% Carbon Capture,http://www.concreteproducts.com/news/12040-oxygen-fuels-cement-producers-carbon-capture-venture.html#.XhgiBlMzYWo,HeidelbergCement is testing oxyfuel technology which entails injection of pure oxygen into the cement kiln to assure proper primary and secondary fuel combustion. Oxygen in lieu of ambient air yields clinker phase exhaust with carbon dioxide at a purity level improving prospects for capturing the greenhouse gas. The goal is to capture 100 percent of the CO2 emissions of a cement plant in a cost-efficient way,Unfunded,,Carbon Capture,Distant,2019,France,Cement,TRUE,HeidelbergCement,Activity,,2019
Fluence Corporation,https://www.fluencecorp.com/design/wastewater/#close,"Fluence Corporation was Formed in 2017 following the consolidation of independent water treatment solution providers Emefcy and RWL Water, Fluence Corporation was established with the vision of becoming the leading global provider of fast-to-deploy decentralized and packaged water and wastewater treatment solutions. ",Public,,Water Management,Distant,2017,USA,Alternative,FALSE,,,,
Basewood,https://www.baswood.com/bioviper,Baswood offers a range of industrial and municipal markets with technology solutions to treat wastewater and bio-solids.,Undisclosed,,Water Management,Distant,2004,Ireland,Alternative,FALSE,,,,
Global Thermostat,https://globalthermostat.com/about-carbon-capture/,Global Thermostat develops and commercializes a technology for the direct capture of carbon dioxide from the atmosphere and other sources.,,,Carbon Capture,Distant,2006,USA,Both,TRUE,,,,
CO2 Solutions,https://co2solutions.com/en/applications/,CO2 Solutions Inc. is a leading innovator in the field of enzyme enabled carbon capture and is actively working to validate at pilot scale and commercialize its technology for power plants and other large stationary sources of carbon pollution.,Public,,Carbon Capture,Distant,2002,Canada,Both,TRUE,,,,
Carbon Engineering,https://carbonengineering.com/our-technology/,"CE is a Canadian-based clean energy company leading the commercialization of groundbreaking technology that captures CO₂directly from the atmosphere, and synthesizes it into clean, affordable transportation fuels.",Undisclosed,"107,400,000",Carbon Capture,Distant,2009,England,Both,TRUE,,,,
uGraph WaterAbstraction,https://futurewatercity.com/product/waterabstraction/,"Intelligent control of well fields. uGraph Water Abstraction is a software, that automates and optimizes well field operation as an add-on to any type of SCADA system. Huge energy savings can be expected (up to 35%). uGraph WaterAbstraction also optimises management of some of the key parameters of water extraction: Sustainability, Environmental impact, Carbon footprint and conservation of resources.",Seed,,Water Management,Existing,2019,Denmark,Alternative,TRUE,VCS Denmark + VTU-Foundation,Activity,,
Water Manager,https://futurewatercity.com/product/water-manager/,"Real-time interpretation of water quality measurements. Water Manager is a cloud-based software to monitor and interpret online water quality measurements from treatment plants. The results are presented to the operator as simple alarms and graphical figures. Cloud based analysis, information is presented graphically in real-time, via simple and easily accessible images. Information could include: Early Warnings – alerting staff to unexpected events and operational deviations; Analyses to detect slow and gradual changes in the efficiency of the waterworks; Alerts of errors in the system requiring immediate action.",Seed,,Water Management,Existing,2019,Germany,Alternative,TRUE,VCS Denmark + VTU-Foundation,Activity,,
WaterRehab (in development) ,https://futurewatercity.com/product/water-rehab/,"Optimum rehabilitation of water distribution networks. WaterRehab is a new GIS-based software tool, supporting the rehabilitation planning by analyzing the need for rehabilitation of the drinking water pipelines based on technical, financial, socio-economic and strategic conditions. WaterRehab provides the user with a comprehensive overview of the physical status of the distribution system. Technical, financial and strategic parameters are included to optimise cost effectiveness and to optimise decision-making in relation to maintenance, restoration and renewal of the system. WaterRehab makes it possible for decision-makers and planning personnel to simulate different scenarios and calculate the effects of various activities, before committing to a final decision. ",Seed,,Water Management,Existing,2019,Denmark,Alternative,TRUE,VCS Denmark + VTU-Foundation,Activity,,
Wise,https://futurewatercity.com/product/wise/,"Use of water reservoirs for energy storage. The WISE software from Sweco, controls and optimizes entire water production systems. It plans production on each of the individual water treatment plants according to forecast of energy prices as an add-on to any SCADA system. Water reservoirs can be utilised to generate hydro-based energy. They are typically established in elevated locations in the supply area and can be used as potential energy storage. When prices on electricity markets are low, production at the waterworks is increased and water reservoirs will be filled with water. The result is a reduction of the energy costs of the waterworks by up to about 20 percent.",Seed,,Water Management,Existing,2019,Denmark,Alternative,TRUE,VCS Denmark + VTU-Foundation,Activity,,
Hydraloop,hydraloop.com,"Dutch startup Hydraloop has created a patented water recycling system that collects household water waste and cleans it. The system, which does not require a filter, allows people to reuse greywater and reduce waste. The company says the system could reduce household water use by 75,000 litres a year. The system is compact and automated, making it easy to use. Hydraloop uses patented technology to collect household water and clean it. The system works without a filter, reducing waste, and requires very little energy to work. Instead of a filter, the Hydraloop cleans water using several processes, including sedimentation, UV disinfection and an aerobic bioreactor. Once cleaned, the water can then be re-used in toilets, washing machines or any other purpose other than drinking. Hydraloop comes with an app to help households optimise water savings. The app can track the amount of water recycled and saved. It can also notify users if, for example, there is enough recycled water to run the washing machine. ",Undisclosed,,Water Management,Existing,2017,Netherlands,Alternative,TRUE,,,,
Hydroleap,https://www.hydroleap.com/,"Hydroleap provides a chemical-free, cost-effective, and environmentally-friendly solution for wastewater treatment by replacing chemicals with electricity. Dr. Moh received his PhD from the National University of Singapore in environmental engineering specializing in using electrochemical methods for the treatment of wastewater and contaminated-soil. Hydroleap’s solution of using electricity to treat the water is overall 3X cheaper and 2X smaller than incumbent technologies. Hydroleap has now successfully progressed from lab to full-blown commercialization. With this new round, the company plans to take its proprietary technology to industrial parks, mining, palm oil and semiconductor industries by removing suspended solids, heavy metals, hardness and COD from their wastewater.",Seed,"1,900,000",Water Management,Emerging,2016,Singapore,Mining,TRUE,,,,
Zero Mass Water,https://www.zeromasswater.com/,"Zero Mass Water that pulls moisture from the air to create drinkable water. The system is eco-friendly, using solar powered “hydropanels”. The hydro panel is composed of a normal solar panel with two hydropanels — one that generates heat, and one that absorbs moisture from the air. With no piped or electrical input, SOURCE Water is off-grid. SOURCE makes water below 10% relative humidity, unlike other water-from-air products. Modular by design, SOURCE arrays can scale up to meet any drinking water demand. Pure liquid water pulled straight from the air and
monitored remotely for quality and production. Users can either purchase the panels and system or pay-per-volume via serivce model.",Undisclosed,"24,500,000",Water Management,Distant,2014,USA,Alternative,TRUE,,,,
Banyan Water,"
www.banyanwater.com","Banyan Water has produced an analytics engine that provides insight into water costs, use, trends, and anomalies for clients in industries ranging from Fortune 500 companies to school campuses. It offers four solutions: Water tracking and analysis software, managed irrigation services, indoor water tracking and leak detection, optimised cooling tower water use. ",Undisclosed,"4,400,000",Water Management,Existing,2011,USA,Alternative,TRUE,,,,
Smart Energy Water,https://www.smartenergywater.com/,"Smart Energy Water, a Los Angeles area startup founded in 2012, uses machine learning to optimize both water and energy operations for smart cities. It offers products for both consumers and employees. The latter, for instance, helps workers in the field to manage scheduling and reporting tasks on a mobile platform.",Undisclosed,,Water Management,Existing,2012,,Alternative,TRUE,,,,
Emagin,"
emagin.ca/
","EMAGIN provides water and wastewater facilities with an operational intelligence platform that supports real-time decision making when controlling critical assets. In doing so, we’re helping facilities drive down operational costs, enhance reliability and prepare for emergencies.

AI platform for optimizing water management, specializing in utilities, food and beverage, pulp and paper, and chemical production plants, among others.",Seed,"2,200,000",Water Management,Existing,2017,Canada,Alternative,TRUE,,,,
